identifiant,source_audit,categorie,emplacement,description,preuve_audit,cause_reelle,dans_10_premieres_minutes,lot,statut,test_associe,capture_avant,capture_apres,commit,justification_report
V-001,DEFAUTS_PRIORISES.csv,P0/Vallée,Vallée,Cubes et dalles dominants visibles dans toute la carte,Grilles 8x8; atlas 33 lieux; code valley_world.gd,monde déclaré graybox ; masses = dalles/boîtes axées monde,OUI (partout),B,À TRAITER,"tools/godot/probe_frame_masses.gd (mesure, pas verdict)",evidence/vertical_slice_20260811/avant/01..06_*.png,evidence/vertical_slice_20260811/final/01..06_*.png,51310eb + 79f0343 + 65809fe,"traité DANS la tranche (plateau lot B, citadelle étape 4, mesas étape 7) ; le reste de la carte REPORTÉ AU BACKLOG ; il reste la monture en primitives et la couture bordure/crêtes"
V-002,DEFAUTS_PRIORISES.csv,P0/Citadelle,Citadelle,Citadelle lue comme empilement de boîtes,Grilles nord; CitadelProxy; code valley_terrain.gd,"CitadelProxy : boîtes _box_in axées monde, aucune arche ni vide ; terrasses = 3 BoxMesh",OUI (visible des 6 caméras),B (étape 4),PROUVÉ,"test_citadel_carries_voids_and_asymmetry.gd (3 tests, rouges d'abord)",evidence/vertical_slice_20260811/apres/01+06 (état lots A-D),evidence/vertical_slice_20260811/final/01+05+06_*.png,79f0343,"terrasses en troncs de pyramide, arcade percée (3 vides), brèche, 2 courtines déviées — verdict d'image final : Codex"
V-003,DEFAUTS_PRIORISES.csv,P0/Limites,Limites,Anneau montagneux en triangles répétés,Grilles verticales et obliques,13 jupes de 52 m espacées de 45 m + 14 crêtes en peigne : les intervalles montraient la dalle nue,OUI (horizon des 6 caméras),B,CORRIGÉ,aucun test machine pertinent (silhouette) — jugement visuel Codex attendu,evidence/vertical_slice_20260811/avant/05_route_nord.png,evidence/vertical_slice_20260811/apres/05_route_nord.png,51310eb,verdict visuel final : Codex
V-004,DEFAUTS_PRIORISES.csv,P0/Terrain,Terrain,Terrain presque entièrement plat,991/1024 sondages sous 5 degrés; 815/1024 sur deux plaines,"PlainNorth/PlainSouth portent 79,6 % des impacts ; ~4 000 objets posés à cotes absolues",OUI (le sol du parcours),C/E (relief et transitions du parcours) ; reste de la vallée : backlog ISS-045,À TRAITER,filet à construire d'abord : généraliser test_opening_dressing_rests_on_ground,sondage_sol_16m.csv (audit),—,—,"SCINDÉ : le relief GLOBAL reste au backlog derrière son filet (ISS-045 — ~4 000 objets posés à cotes absolues) ; le PARCOURS des dix minutes, lui, est dû aux lots C/E. Fait à ce jour : chemin plaqué pièce à pièce sur les paliers (lot C), talus du plateau et des mesas (B/E). Restent : les deux plaines plates traversées, la couture bordure/crêtes"
V-005,DEFAUTS_PRIORISES.csv,P0/Chemins,Chemins,Rampes et bandes vertes posées sur le sol,Nombreuses vues POI et grille oblique,chemins = PlaneMesh sans épaisseur à PATH_CLEARANCE au-dessus du sol ; sous-défaut rampe repeinte PROUVÉ (8ea4491),"OUI (PathStrip00 = 22,2 % du cadre d'ouverture)",C (étape 5),PROUVÉ,"test_paths_belong_to_the_ground.gd (3 tests, 10 échecs mesurés avant) + test_ground_carriers (sous-défaut rampe)",evidence/vertical_slice_20260811/avant/01_crete_vista.png,evidence/vertical_slice_20260811/final/02+05_*.png,8ea4491 + 1398562,"tronçons ≤ 7 m chevauchants, largeur/orientation variables, épaulements PathEdges, pierres de bord ; chaque tronçon plaqué au sol réel"
V-006,DEFAUTS_PRIORISES.csv,P0/Camp,Camp,"Tentes et feu final absents, fallbacks autorisés",AssetRegistry; deux scènes référencées absentes,prop.tent/prop.campfire réservés vers des scènes ABSENTES et jamais consommés ; tentes = PrismMesh (cônes interdits §10.2),OUI (camp),D,PROUVÉ,test_asset_pipeline.gd (résolution) + test_valley_dressing.gd (camp habité),evidence/vertical_slice_20260811/avant/03_camp.png,evidence/vertical_slice_20260811/apres/03_camp.png,0d1252b,"assets originaux livrés et consommés ; réévaluation étape 6 : triangle atelier/feu/repos lisible, traces d'activité présentes, fumée mesurée +39,7 — silhouette 70-110 m portée par la fumée, tentes basses (assumé)"
V-007,DEFAUTS_PRIORISES.csv,P0/POI,POI,Coques orange/vertes masquent ou dominent plusieurs lieux,"Vues 360 de mine, cimetière, bosquet, chute, gorge",landmarks bâtis en grands volumes rectangulaires,PARTIEL (coques visibles du parcours),E (coques dans les cadres de gate) ; lieux hors parcours : backlog,À TRAITER,—,atlas_lieux_360_partie_1..3.jpg,—,—,"SCINDÉ : les coques visibles DEPUIS LE PARCOURS (relief vert du sanctuaire forestier près de la descente, murs du poste minier côté ouest de la vista) sont dues au lot E ; les 30 autres lieux restent au backlog, ligne à ligne ci-dessous"
V-008,DEFAUTS_PRIORISES.csv,P0/Grottes,Grottes,Trois grottes sont des boîtes à plafond plat,atlas_grottes.jpg; code valley_caves.gd,valley_caves.gd assume des coques graybox,NON,hors tranche,REPORTÉ AU BACKLOG,—,atlas_grottes.jpg,—,—,hors des dix premières minutes (audit §ordre : grottes après l'ouverture)
V-009,DEFAUTS_PRIORISES.csv,P0/Souterrains,Souterrains,Deux souterrains partagent la même grammaire de boîte,atlas_souterrains.jpg; code valley_undergrounds.gd,valley_undergrounds.gd : parois rectangulaires procédurales,NON,hors tranche,REPORTÉ AU BACKLOG,—,atlas_souterrains.jpg,—,—,hors des dix premières minutes
D-001,DEFAUTS_PRIORISES.csv,P0/Donjon,Donjon,Blocs bruns unis visibles dans les mécanismes,Vues spawn salles 1-4 et arène,mécanismes de puzzle en primitives,NON,hors tranche,REPORTÉ AU BACKLOG,—,atlas_donjon_complet.jpg,—,—,audit : « terminer les mécanismes cubiques APRÈS validation de l'ouverture »
