id,provider,pack,category,license,formats,status,priority,style_fit,use_for,source_url,decision
EX-Q-NATURE-MEGA,Quaternius,Stylized Nature MegaKit,vegetation,CC0,glTF;FBX,EXISTING,P0,excellent,trees;grass;flowers;rocks,https://quaternius.com/,Do not duplicate; promote unused existing models first
EX-Q-PROPS-MEGA,Quaternius,Fantasy Props MegaKit,props,CC0,glTF;FBX,EXISTING,P0,excellent,camps;village;loot;furniture,https://quaternius.com/,Do not duplicate; existing archive already attributed
EX-Q-VILLAGE-MEGA,Quaternius,Medieval Village MegaKit,architecture,CC0,glTF;FBX,EXISTING,P0,excellent,villages;farm;hamlets,https://quaternius.com/,Do not duplicate; 53 modules already promoted
EX-Q-BASE-CHAR,Quaternius,Universal Base Characters,characters,CC0,glTF;FBX,EXISTING,P0,excellent,hero;raiders;NPC bases,https://quaternius.com/,Keep existing rigs as animation reference
EX-Q-OUTFITS,Quaternius,Modular Character Outfits Fantasy,characters,CC0,glTF;FBX,EXISTING,P1,excellent,NPC;villagers;guards,https://quaternius.com/,Use existing parts before new characters
EX-Q-ANIM-1,Quaternius,Universal Animation Library,animation,CC0,glTF;FBX,EXISTING,P0,excellent,locomotion;combat;interactions,https://quaternius.com/,Retarget only after foot-slide checks
EX-Q-ANIM-2,Quaternius,Universal Animation Library 2,animation,CC0,glTF;FBX,EXISTING,P0,excellent,work;farming;fishing;emotes,https://quaternius.com/,Best existing source for making places feel inhabited
EX-Q-ULT-NATURE,Quaternius,Ultimate Nature Pack,vegetation,CC0,OBJ;FBX,EXISTING,P0,good,riverside;willows;logs;moss rocks,https://quaternius.com/,150 models exist in source; promote selectively
EX-K-NATURE,Kenney,Nature Kit 2.1,terrain;rocks,CC0,GLB,EXISTING,P0,good,cliffs;border;rocks,https://kenney.nl/assets/nature-kit,8 assets already promoted; do not redownload
EX-KK-DUNGEON,KayKit,Dungeon Pack 1.1 FREE,dungeon,CC0,glTF,EXISTING,P0,excellent,citadel interior;dungeon rooms,https://kaylousberg.itch.io/kaykit-dungeon,Deposited but unused; first source for dungeon pass
LAND-K-CASTLE,Kenney,Castle Kit 2.0,architecture,CC0,GLB;glTF,LANDED,P0,good,citadel;old rampart;bastion;watchtower,https://kenney.nl/assets/castle-kit,Use modular voids and broken silhouettes; repaint materials
LAND-K-CAVE,Kenney,Modular Cave Kit 1.0,cave,CC0,GLB;glTF,LANDED,P0,good,waterfall cave;mine;crypt;hidden passage;crystal hollow,https://kenney.nl/assets/modular-cave-kit,Core kit for five underground POIs
LAND-K-TOWN,Kenney,Fantasy Town Kit 2.0,architecture,CC0,GLB;glTF,LANDED,P0,good,riverside village;logging hamlet;farm;mining post,https://kenney.nl/assets/fantasy-town-kit,Use as modular structure source not intact prefab town
LAND-K-GRAVE,Kenney,Graveyard Kit 5.0,architecture;props,CC0,GLB;glTF,LANDED,P0,good,barrow cemetery;crypt exterior;storm grove,https://kenney.nl/assets/graveyard-kit,Select graves fences benches and dead trees; avoid comic monsters
LAND-K-SURVIVAL,Kenney,Survival Kit 2.0,camp;props,CC0,GLB;glTF,LANDED,P0,good,raider camps;storm caravan;hunter range;mine,https://kenney.nl/assets/survival-kit,Use tools resources structures and animated props
LAND-K-WATERCRAFT,Kenney,Watercraft Kit 2.1,water;props,CC0,GLB;glTF,LANDED,P1,good,riverside village;river;waterfall;docks,https://kenney.nl/assets/watercraft-kit,Prefer rafts rowboats docks; reject modern vessels
LAND-K-RPG-AUDIO,Kenney,RPG Audio,audio,CC0,OGG,LANDED,P0,neutral,footsteps;cloth;coins;doors;weapons,https://kenney.nl/assets/rpg-audio,Audition and normalize before promotion
LAND-K-INTERFACE,Kenney,Interface Sounds,audio,CC0,OGG,LANDED,P1,neutral,inventory;pause;menus;confirmation,https://kenney.nl/assets/interface-sounds,Audition on speakers and controller navigation
LAND-K-PARTICLE,Kenney,Particle Pack,vfx,CC0,PNG,LANDED,P1,good,fire;sparks;electricity;dust;magic,https://kenney.nl/assets/particle-pack,Use as masks in Godot particles; never as geometry cover-up
LAND-K-LIGHT,Kenney,Light Masks,vfx;lighting,CC0,PNG,LANDED,P2,neutral,citadel;dungeon;campfire break-up,https://kenney.nl/assets/light-masks,Use only motivated projected light with performance check
LAND-K-SMOKE,Kenney,Smoke Particle Assets,vfx,CC0,PNG,LANDED,P1,good,camps;chimneys;storm caravan;dust,https://kenney.nl/assets/smoke-particles,Recolor and animate; keep silhouettes readable
CAND-Q-RUINS,Quaternius,Ultimate Modular Ruins Pack,ruins;dungeon,CC0,FBX;OBJ;Blend,CATALOG,P0,excellent,aqueduct;watchtower;observatory;rampart;crypt,https://quaternius.com/packs/ultimatemodularruins.html,High-value manual download; convert selected pieces to GLB
CAND-Q-DUNGEONS,Quaternius,Modular Dungeons Pack,dungeon,CC0,FBX;OBJ,CATALOG,P1,good,citadel rooms;crypt;mine,https://quaternius.com/,Compare with deposited KayKit before download
CAND-Q-FANTASY-RTS,Quaternius,Ultimate Fantasy RTS,architecture;props,CC0,FBX;OBJ,CATALOG,P1,excellent,citadel;temples;mines;farms;market;windmill,https://quaternius.com/,Very broad kit; select only unique silhouettes
CAND-Q-ANIMALS,Quaternius,Ultimate Animated Animal Pack,fauna,CC0,FBX;Blend,CATALOG,P0,excellent,deer;fox;wolf;horse;donkey;ambient life,https://quaternius.com/,Primary free fauna candidate; requires animation and scale review
CAND-Q-FARM-ANIMALS,Quaternius,Farm Animal Pack,fauna,CC0,FBX;Blend,CATALOG,P1,excellent,abandoned farm;village;hamlet,https://quaternius.com/,Use living animals sparingly and only where story supports them
CAND-Q-CROPS,Quaternius,Ultimate Crops Pack,vegetation;food,CC0,FBX;OBJ,CATALOG,P0,excellent,farm;flower field;village gardens;camp supplies,https://quaternius.com/,High meso-detail value for southern valley
CAND-Q-EASY-ENEMY,Quaternius,Easy Enemy Pack,fauna;enemy,CC0,FBX;Blend,CATALOG,P2,good,rats;spiders;frogs;ambient hazards,https://quaternius.com/,No new enemy mechanics until scope permits; ambient-only first
CAND-Q-MONSTERS,Quaternius,Animated Monster Pack,enemy,CC0,FBX;Blend,CATALOG,P3,mixed,dungeon;bastion;crypt,https://quaternius.com/,Generic fantasy risk; use only after silhouette art review
CAND-Q-SURVIVAL,Quaternius,Survival Pack,camp;props,CC0,FBX;OBJ,CATALOG,P1,excellent,camps;caravan;rafts;tools;bonfire,https://quaternius.com/,Compare against landed Kenney Survival to avoid duplicates
CAND-Q-MEDIEVAL-BUILD,Quaternius,Modular Medieval Building Pack,architecture,CC0,FBX;OBJ,CATALOG,P1,good,bastion;watchtower;village defenses,https://quaternius.com/,Use modules not intact generic castle
CAND-Q-POSED-HUMANS,Quaternius,Background Posed Humans Pack,NPC,CC0,FBX;OBJ,CATALOG,P0,excellent,village;camp;farm;mine;citadel approach,https://quaternius.com/,Cheap distant life; replace static poses near player with animated NPCs
